"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1966,47,"Long Beach","CA","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",9,19.1489361702128
"Bob Damron's Address Book",1966,47,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"New Orleans","LA","United States","New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa",2,4.25531914893617
"Bob Damron's Address Book",1966,47,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"Provincetown","MA","United States","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"Rochester","NY","United States","Rochester, NY, United States",-77.6088465,43.1565779,"rochester, ny, usa",2,4.25531914893617
"Bob Damron's Address Book",1966,47,"San Diego","CA","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"San Francisco","CA","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa",3,6.38297872340426
"Bob Damron's Address Book",1966,47,"Seattle","WA","United States","Seattle, WA, United States",-122.3320708,47.6062095,"seattle, wa, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"St. Joseph","MO","United States","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"St. Louis","MO","United States","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa",1,2.12765957446809
"Bob Damron's Address Book",1966,47,"Tampa","FL","United States","Tampa, FL, United States",-82.4571776,27.950575,"tampa, fl, usa",1,2.12765957446809
