City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
New York,NY,United States,Lesbian Herstory Archives,,Archive,history; interviews; books,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b9,New York_NY_United States,-74.006015,40.7127281
New York,NY,United States,Lesbian Herstory Archives,Joan & Deb,Archive,lesbian culture; collection; history; artifacts; newsletter,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,New York_NY_United States,-74.006015,40.7127281
Hadley,MA,United States,International Women Artist Archives,R Anderson,Archive,Looking for photographs of artwork by women,Request,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Hadley_MA_United States,-72.562088,42.35637
Florence,MA,United States,New Alexandria Lesbian Library,,Archive,grassroots national community archive seeking three lesbians to work with library,Request,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Florence_MA_United States,-87.677251,34.79981
Paris,,France,Recherches et Cultures Lesbiennes (The Lesbian Archives),,Archive,"international documentation and information by, for, and about lesbians; included in unofficial directory called ""Bits & Pieces""",Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Paris__France,2.32004102,48.8588897
Leeuwarden,,Netherlands,Lesbisch Archief Leeuwarden,,Archive,first lesbian archives in the Netherlands; collecting all info on lesbian existence; bits & pieces section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Leeuwarden__Netherlands,5.7918548,53.2005936
London,England,United Kingdom,Lesbian Studies Summer School,Lesbian Archive and Information Centre,Archive,,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,London_England_United Kingdom,-0.1276474,51.5073219
Milwaukee,WI,United States,Natural Women,Woman's Soul Publishing,Art Organization,"opening of women's art gallery, literature and music outlet, and performing stage for women artists",Advertisement,Lesbian Connection,1,4,March,1975,https://www.jstor.org/stable/community.28039159?seq=1#metadata_info_tab_contents,Milwaukee_WI_United States,-87.922497,43.0349931
Santa Cruz,CA,United States,National Festival of Women's Theatre,,Art Organization,"offering a week-long festival of women's theatre with performances, workshops, seminars",Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Santa Cruz_CA_United States,-121.99059,37.050096
Portland,OR,United States,The Lesbian Art Movement,,Art Organization,lesbian artists and art supporters gathering,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_OR_United States,-122.67419,45.5202471
Tri-Cities,WA,United States,Gay Rap Group,Mary,Art Organization,music; poetry; contact Mary for meeting location and time,Directory,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Tri-Cities_WA_United States,-119.11867,46.2626203
Seattle,WA,United States,Day Moon Designs,Noreen Scully,Art Organization,"Announcement Title: ""The Kiss."" Advertising lesbian art by Noreen Scully.",Advertisement,Lesbian Connections,2,6,November,1976,https://www.jstor.org/stable/community.28039169?seq=1#metadata_info_tab_contents,Seattle_WA_United States,-122.33006,47.6038321
Los Angeles,CA,United States,the Woman's Building,The Chrysalis,Art Organization,"Sculptures in Dough', Women delight women, feminist workshops, subscription",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=21,Los Angeles_CA_United States,-118.24277,34.0536909
Provincetown,MA,United States,Freehand,,Art Organization,"Poetry, prose, photography, bodywork, performance, ""many special faculty and visiting artists""",Advertisement,Lesbian Connection,9,3,December,1986,https://www.jstor.org/stable/community.28039217?seq=18,Provincetown_MA_United States,-70.185864,42.0525612
Philadelphia,PA,United States,Order Before Midnight,Carol Moore,Art Organization,"Bits & Pieces; A feminist evolutionary arts ensemble, is putting on two of Jane Chamber's plays in Philadelphia and at the Lesbian Feminist Weekend last September.",Directory,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Philadelphia_PA_United States,-75.163526,39.9527237
Chicago,IL,United States,Womens Graphics Collective,5th Annual Lesbian Writers Conference,Art Organization,"Announcement of new posters including erotica, tribute to Malvina Reynolds, Mujeres Latinias en Acción, and %th Annual Lesbian Writers Conference. Keywords: posters, art, erotica, latina",Advertisement,Lesbian Connection,Winter Supplement,Winter Supplement,December,1978,https://www.jstor.org/stable/community.28039187?seq=4,Chicago_IL_United States,-87.624421,41.8755616
Cincinnati,OH,United States,Labyris Bookstore Collective,,Bookstore,merchandise; literature,Article,Lesbian Connection,1,4,March,1975,https://www.jstor.org/stable/community.28039159?seq=1#metadata_info_tab_contents,Cincinnati_OH_United States,-84.51246,39.1014537
Phoenix,AZ,United States,Womansplace,,Bookstore,books by mail; annotated booklists for lesbians; business,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Phoenix_AZ_United States,-112.07414,33.4484367
Hayward,CA,United States,The Oracle Feminist Books,,Bookstore,feminist and lesbian literature; books; children's books; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Hayward_CA_United States,-122.0808,37.6688205
Boulder,CO,United States,Lilith,,Bookstore,books; merchandise; women's bookstore,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b23,Boulder_CO_United States,-105.27024,40.0154155
Iowa City,IA,United States,The Plainswoman Bookstore,,Bookstore,books by and about women; apparel; records; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Iowa City_IA_United States,-91.529911,41.6612561
East Lansing,MI,United States,Womanself Bookstore,,Bookstore,books; records; jewelry; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,East Lansing_MI_United States,-84.472168,42.7320307
Highland Park,MI,United States,Hershelf Wimmin's Books & Crafts,,Bookstore,books; records; apparel; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Highland Park_MI_United States,-83.096583,42.4055981
Kansas City,MO,United States,New Earth Bookstore,,Bookstore,mail order catalog; annotated booklist for lesbians and feminists; literature; Gaia's Guide available,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Kansas City_MO_United States,-94.578142,39.100105
Kansas City,MO,United States,New Earth Bookstore,Gaia's Guide,Bookstore,books; merchandise; advertising for distribution of Gaia's Guide; catalogs,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Kansas City_MO_United States,-94.578142,39.100105
Warner,NH,United States,Womenswords Books,,Bookstore,"lesbian feminist book search; used, rare, and out of print books by and about women; collection; merchandise",Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Warner_NH_United States,-71.81694,43.280705
Las Vegas,NV,United States,Women's Words,,Bookstore,feminist and lesbian bookstore; books; merchandise,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b24,Las Vegas_NV_United States,-115.14852,36.1672559
Buffalo,NY,United States,Emma: Buffalo Women's Bookstore,,Bookstore,books; literature; merchandise; library,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A804bdd737db80c748974394df88a950f,Buffalo_NY_United States,-78.878392,42.8867166
Milwaukee,WI,United States,Sistermoon Feminist Bookstore and Art Gallery,,Bookstore,lesbian feminist books; apparel; jewelry; art shows; music; self defense classes; community space,Advertisement,Lesbian Connection,3,6,December,1977,https://www.jstor.org/stable/pdf/community.28039178.pdf?refreqid=excelsior%3A7a54eb49ecfcf11b2aa06ac9daf6a8b8,Milwaukee_WI_United States,-87.922497,43.0349931
New Haven,CT,United States,Goldenthread Booksellers,,Bookstore,feminist bookstore; merchandise; business,Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,New Haven_CT_United States,-72.925052,41.3082138
Milwaukee,WI,United States,Sistermoon Feminist Bookstore and Art Gallery,,Bookstore,"books, jewelry, records, clothing, pottery, arts and crafts, art gallery",Advertisement,Lesbian Connection,6,1,December,1982,https://www.jstor.org/stable/pdf/community.28039197.pdf?refreqid=excelsior%3A36736269a300d90d9f9b201f149c5991,Milwaukee_WI_United States,-87.922497,43.0349931
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"complete collection of lesbian, feminist, and gay books, periodicals, records, etc.; foreign language titles; books, liiterature",Advertisement,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Philadelphia_PA_United States,-75.163526,39.9527237
Huntington Station,NY,United States,Womankind Books,,Bookstore,free lesbian mail order catalog,Advertisement,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Huntington Station_NY_United States,-73.411509,40.8534318
Portland,ME,United States,Aradia Books,,Bookstore,"feminist, lesbian, goddess books",Advertisement,Lesbian Connection,9,5,March,1987,https://www.jstor.org/stable/pdf/community.28039219.pdf?refreqid=excelsior%3Abdf301575c90c0a78707ca085ff6dc10,Portland_ME_United States,-70.25486,43.6610277
Albuquerque,NM,United States,Full Circle Books,,Bookstore,sent in list of their bestsellers to LC to publish alongside list from other bookstore,Article,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Albuquerque_NM_United States,-106.65099,35.0841034
Lilyfield,New South Wales,Australia,The Feminist Bookshop,,Bookstore,sent in list of their bestsellers to LC to publish alongside list from other bookstore,Article,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Lilyfield_New South Wales_Australia,151.161619,-33.870988
Miami,FL,United States,Humpers,,Bookstore,new lesbian/gay bookstore that opened previous fall; business; bits & pieces section,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Miami_FL_United States,-80.19362,25.7741728
Houston,TX,United States,Wilde & Stein Books,,Bookstore,bits & pieces section ; no address given,Directory,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Houston_TX_United States,-95.367697,29.7589382
Minneapolis,MN,United States,Amazon Bookstore,,Bookstore,Notice that location of Amazon Bookstore has moved; business,Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Minneapolis_MN_United States,-93.265469,44.9772995
Columbus,OH,United States,Fan the Flames,,Bookstore,women's bookstore; at the YMCA in downtown Columbus; oldest women's bookstore,Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Columbus_OH_United States,-83.000707,39.9622601
San Francisco,CA,United States,Old Wives Tales,,Bookstore,"Women's visions and books; selection of lesbian, third world, and children's (non-sexist) books",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,San Francisco_CA_United States,-122.41991,37.7790262
Pittsburgh,PA,United States,Gertrude Stein Memorial Bookshop,,Bookstore,"new women's bookstore; books, records, jewelry",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Pittsburgh_PA_United States,-79.990086,40.4416941
Cincinnati,OH,United States,Crazy Ladies Bookstore,,Bookstore,"books, records, and gifts for women",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Cincinnati_OH_United States,-84.51246,39.1014537
Albuquerque,NM,United States,Full Circle Books,,Bookstore,"books, merchandise, business",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Albuquerque_NM_United States,-106.65099,35.0841034
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"large selection of lesbian/gay and feminist books, periodicals, records, etc.",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Philadelphia_PA_United States,-75.163526,39.9527237
Kansas City,MO,United States,New Earth Bookstore,,Bookstore,"lesbian books and periodicals, women's music and feminist literature, mailorder catalog available",Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=1#metadata_info_tab_contents,Kansas City_MO_United States,-94.578142,39.100105
East Lansing,MI,United States,Maxine Feldman,"Unitarian Church; A Woman's Bookstore, 225 E. Liberty; Hershelf Bookstore, 2 Highland, Highland Park; Womeself Bookstore, University Mall, East Lansing",Bookstore,"Announcement Title: ""A Woman's Bookstore."" Bookstore arranging venue at UU Church for lesbian comedian.",Advertisement,Lesbian Connections,2,6,November,1976,https://www.jstor.org/stable/community.28039169?seq=1#metadata_info_tab_contents,East Lansing_MI_United States,-84.472168,42.7320307
Ann Arbor,MI,United States,A Woman's Bookstore,The Gallery Circle,Bookstore,"Announcement Title: ""A Woman's Art Gallery."" Offering gallery space for women artists at bookshop.",Request,Lesbian Connections,2,6,November,1976,https://www.jstor.org/stable/community.28039169?seq=1#metadata_info_tab_contents,Ann Arbor_MI_United States,-83.731229,42.2681569
Phoenix,AZ,United States,Womansplace Bookstore,,Bookstore,"Title: ""Womansplace Bookstore.""",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Phoenix_AZ_United States,-112.07414,33.4484367
San Francisco,CA,United States,Old Wives Tales,,Bookstore,"Title: ""Travelling to San Francisco this Fall?"" Bookshop.",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,San Francisco_CA_United States,-122.41991,37.7790262
Isla Vista,CA,United States,Womankind Bookstore,,Bookstore,"Title: ""Womankind Bookstore."" Feminist books and gift shop.",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Isla Vista_CA_United States,-119.85621,34.4115125
Cincinnati,OH,United States,Crazy Ladies Bookstore,,Bookstore,"Title: ""Cincinnati."" Bookstore and art.",Advertisement,Lesbian Connections,4,1,August,1979,http://www.jstor.org/stable/community.28039188,Cincinnati_OH_United States,-84.51246,39.1014537
Ithaca,NY,United States,Firebrand Books,,Bookstore,Donated books,Donation,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Ithaca_NY_United States,-76.548315,42.437072
Lakewood,OH,United States,Another State of Mind,,Bookstore,Donated video and book,Donation,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Lakewood_OH_United States,-81.798191,41.4819932
Columbiana,OH,United States,Tomorrow's World Bookservice,,Bookstore,Donated books,Donation,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Columbiana_OH_United States,-80.76486,40.7787016
Cincinnati,OH,United States,Crazy Ladies Bookstore,,Bookstore,Donated sweatshirt,Donation,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Cincinnati_OH_United States,-84.51246,39.1014537
Pittsburgh,PA,United States,Gertrude Stein Memorial Bookshop,,Bookstore,"Title: ""Gertrude Stein Memorial Bookshop."" Featuring woman-made books, etc.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Pittsburgh_PA_United States,-79.990086,40.4416941
St. Petersburg,FL,United States,Brigit Books,,Bookstore,"Title: ""Brigit Books - Florida's."" Books, music, jewelry - also features bulletin board with local info.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,St. Petersburg_FL_United States,-82.669509,27.7703796
Lakewood,OH,United States,Another State of Mind,,Bookstore,"Title: ""Another State of Mind."" Gay/lesbian bookstore/gift shop.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Lakewood_OH_United States,-81.798191,41.4819932
New Orleans,LA,United States,The Mystic Moon,,Bookstore,"Title: ""The Mystic Moon."" Feminist bookstore, open T-F",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,New Orleans_LA_United States,-90.078213,29.9759983
Oakland,CA,United States,Mama Bears,,Bookstore,"Title: ""Mama Bears."" Bookstore, coffeehouse, gifts. Women's events - $1 for newsletter",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Oakland_CA_United States,-122.27136,37.8044557
Huntington Station,NY,United States,Womankind Books,,Bookstore,"Title: ""Free Lesbian Mail Order Catalog."" Mail order catalog w/books records, videos. Emphasizes discretion.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Huntington Station_NY_United States,-73.411509,40.8534318
Columbus,OH,United States,Fan the Flames Feminist Bookstore,,Bookstore,"Title: ""Ohio's Oldest Women's Bookstore Does Mail Order!"" Bookstore with mail order catalog.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Columbus_OH_United States,-83.000707,39.9622601
Baltimore,MD,United States,31st Street Bookstore Co-op,,Bookstore,"Title: ""Maryland's Only Feminist Bookstore."" Claims to be Maryland's only feminist bookstore.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Baltimore_MD_United States,-76.610759,39.2908816
Northampton,MA,United States,Lunaria,,Bookstore,"Title: ""New, Used, And Rare Lesbian & Feminist Books and Music."" Mail-order bookstore",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Northampton_MA_United States,-72.631101,42.3178989
Indianapolis,IN,United States,Dreams & Swords,,Bookstore,"Title: ""Dreams & Swords."" Feminist family bookstore w/catalog.",Advertisement,Lesbian Connections,12,2,September,1989,https://www.jstor.org/stable/community.28039234,Indianapolis_IN_United States,-86.15835,39.7683331
East Lansing,MI,United States,Womanself Bookstore,University Mall,Bookstore,"Women's books, non-sexist children's books",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=5,East Lansing_MI_United States,-84.472168,42.7320307
New Orleans,LA,United States,Atlantis distributors,,Bookstore,"Wholesale book distribution, lesbian, women, children's books",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=6,New Orleans_LA_United States,-90.078213,29.9759983
Eugene,OR,United States,Amazon Reality,,Bookstore,"Non profit lesbian/feminist company, distributes literature, and music of female artists",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=9,Eugene_OR_United States,-123.09505,44.0505054
Eugene,OR,United States,Northwest Matrix,,Bookstore,Book store,Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=9,Eugene_OR_United States,-123.09505,44.0505054
Grants Pass,OR,United States,WomanShare Books,,Bookstore,"Book ""Country Lesbians""",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=9,Grants Pass_OR_United States,-123.32725,42.4393707
Chapel Hill,NC,United States,Lollipop Power Inc.,,Bookstore,"Non sexist, nonracist, children's picture books",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=11,Chapel Hill_NC_United States,-79.05578,35.9131542
Toronto,Ontario,Canada,Toronto Women's Bookstore,,Bookstore,"Women authors, non-sexist children's books, womens merch",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=12,Toronto_Ontario_Canada,-79.383935,43.6534817
Oakland,CA,United States,I.C.I A Womans Place Bookstore,,Bookstore,"Books for and by women, Children's books, lounge, library",Advertisement,Lesbian Connection,,Winter Supplement,December,1977,https://www.jstor.org/stable/community.28039179?seq=14,Oakland_CA_United States,-122.27136,37.8044557
Chicago,IL,United States,"Jane Addams Bookstore Inc,",,Bookstore,Downtown feminist bookstore,Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=4,Chicago_IL_United States,-87.624421,41.8755616
Milwaukee,WI,United States,Sister Moon,,Bookstore,"Lesbian Feminist bookstore, w/books, jewelry, records, t-shirts",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=8,Milwaukee_WI_United States,-87.922497,43.0349931
Indianapolis,IN,United States,Dreams and Swords,,Bookstore,"Family bookstore, children's books,records, calendar",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=11,Indianapolis_IN_United States,-86.15835,39.7683331
Hartford,CT,United States,Independent Woman Books,,Bookstore,"Mail order bookstore, old, rare, out of print lesbian literature",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=13,Hartford_CT_United States,-72.690855,41.764582
Los Angeles,CA,United States,Sisterhood Bookstore,,Bookstore,Spring Catalog Section; offres women's books and cassettes.,Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Los Angeles_CA_United States,-118.24277,34.0536909
Huntington Station,NY,United States,Womankind Books,,Bookstore,"Spring Catalog Section; Offering free lesbian book catalog, large inventory of lesbian books and music.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Huntington Station_NY_United States,-73.411509,40.8534318
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,"Spring Catalog Section; full page ad listing women's best sellers fiction and non-fiction with short descriptions of each book. Includes a book dealing with racism (THe Land of Look Behind by Michelle Cliff, and Lesbian Land ed by Joyce Cheney containing stories from 20 collectives.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Philadelphia_PA_United States,-75.163526,39.9527237
Englewood,NJ,United States,Pandora Book Peddlers,,Bookstore,"Spring Catalog Section; Introduces Y.O.U.R. Feminist Book Club, lists feminist publishers.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Englewood_NJ_United States,-73.972638,40.8928771
San Francisco,CA,United States,Old Wives Tales,,Bookstore,"Spring Catalog Section; Advertises feminist, 3rd world and children's books, periodicals and records.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,San Francisco_CA_United States,-122.41991,37.7790262
Minneapolis,MN,United States,Amazon Bookstore,,Bookstore,"Spring Catalog Section; Feminist books, periodicals, records, jewelry, crafts,",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Minneapolis_MN_United States,-93.265469,44.9772995
Chicago,IL,United States,Women & Children First,,Bookstore,"Spring Catalog Section; lesbian, feminist and children's books.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Chicago_IL_United States,-87.624421,41.8755616
Indianapolis,IN,United States,Dreams and Swords inc.,,Bookstore,"Spring Catalog Section; ""A feminist family bookstore,"" claims largest selection of lesbian and feminist books, records, and tabes in Midwest. Second address in Bloomington, IN.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Indianapolis_IN_United States,-86.15835,39.7683331
Philadelphia,PA,United States,Giovanni's Room,,Bookstore,Spring Catalog Section; Advertises their 1987 Women's Best Sellers catalog.,Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Philadelphia_PA_United States,-75.163526,39.9527237
Indianapolis,IN,United States,Dreams and Swords inc.,,Bookstore,"Spring Catalog Section; lesbian and feminist books, records, tapes, mail orders.",Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Indianapolis_IN_United States,-86.15835,39.7683331
Austin,TX,United States,Banned Books,"Antoinette Azolakov, Tee Corrine",Bookstore,Spring Catalog Section; Specifically advertising Skiptrace and Cass and the Stone Butch by Antoinette Azolakov and Dreams of the Woman Who Loved Sex by Tee Corinne,Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Austin_TX_United States,-97.7437,30.2711286
Cincinnati,OH,United States,The Crazy Ladies Bookstore,,Bookstore,"Spring Catalog Section; T-shirts, golf shirts, sweat shirts.",Advertisement,Lesbian Connection,10,6,May/June,1988,https://www.jstor.org/stable/community.28039226,Cincinnati_OH_United States,-84.51246,39.1014537
Ventura,CA,United States,SanSu,,Bookstore,"Spring Catalog Section; Books, music, games etc supporting women's creativity",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ventura_CA_United States,-119.07794,34.4458248
Indianapolis,IN,United States,Dreams and Swords inc.,,Bookstore,"Spring Catalog Section; Lesbian and feminist books, records, tapes, mail orders.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Indianapolis_IN_United States,-86.15835,39.7683331
Bloomington,IN,United States,Aquarius Books,,Bookstore,Spring Catalog Section; Feminist bookstore.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Bloomington_IN_United States,-86.534288,39.1670396
Groton,CT,United States,Independent Woman Books,Kathleen S. Koch,Bookstore,"Spring Catalog Section; lesbian and feminist books, old, rare and out of print",Advertisement,Lesbian Connection,7,2,June/July,1984,https://www.jstor.org/stable/community.28039205,Groton_CT_United States,-72.0762,41.3501598
Toronto,,Canada,Toronto Women's Bookstore,,Bookstore,Spring Catalog Section;,Advertisement,Lesbian Connection,7,2,June/July,1984,https://www.jstor.org/stable/community.28039205,Toronto__Canada,-100.27407,25.7933245
Indianapolis,IN,United States,Dreams and Swords inc.,,Bookstore,"Spring Catalog Section; Feminist and lesbian books, tapes, records.",Advertisement,Lesbian Connection,7,2,June/July,1984,https://www.jstor.org/stable/community.28039205,Indianapolis_IN_United States,-86.15835,39.7683331
New York,NY,United States,Womanbooks,,Bookstore,"Spring Catalog Section; Woman authored books, 6000 titles, mail orders.",Advertisement,Lesbian Connection,7,2,June/July,1984,https://www.jstor.org/stable/community.28039205,New York_NY_United States,-74.006015,40.7127281
