"publication","year","pub.count","geocode.value","lon","lat","count"
"Bob Damron's Address Book",1981,4690,"Biloxi, MS, United States",-88.8853078,30.3960318,6
"Bob Damron's Address Book",1981,4690,"Birmingham, AL, United States",-86.8103567,33.5185892,13
"Bob Damron's Address Book",1981,4690,"Bisbee, AZ, United States",-109.9284084,31.4481547,1
"Bob Damron's Address Book",1981,4690,"Bismarck, ND, United States",-100.7877616,46.8041643,1
"Bob Damron's Address Book",1981,4690,"Blaine, WA, United States",-122.7471191,48.993723,3
"Bob Damron's Address Book",1981,4690,"Blairsville, PA, United States",-79.260869,40.4311796,1
"Bob Damron's Address Book",1981,4690,"Bloomington, IL, United States",-88.9936873,40.4842027,5
"Bob Damron's Address Book",1981,4690,"Bloomington, IN, United States",-86.5263857,39.165325,8
"Bob Damron's Address Book",1981,4690,"Boise, ID, United States",-116.2023137,43.6150186,5
"Bob Damron's Address Book",1981,4690,"Boston, MA, United States",-71.0588801,42.3600825,44
"Bob Damron's Address Book",1981,4690,"Boulder, CO, United States",-105.2705456,40.0149856,3
"Bob Damron's Address Book",1981,4690,"Boulder, MT, United States",-112.1208336,46.2365947,1
"Bob Damron's Address Book",1981,4690,"Bowling Green, KY, United States",-86.4808043,36.9685219,1
"Bob Damron's Address Book",1981,4690,"Brattlesboro, VT, United States",-72.5578678,42.8509152,1
"Bob Damron's Address Book",1981,4690,"Breckenridge, CO, United States",-106.0383518,39.4816537,1
"Bob Damron's Address Book",1981,4690,"Bremerton, WA, United States",-122.6269768,47.5650067,2
"Bob Damron's Address Book",1981,4690,"Brick Town, NJ, United States",NA,NA,1
"Bob Damron's Address Book",1981,4690,"Bridgeport, CT, United States",-73.1894384,41.1792258,3
"Bob Damron's Address Book",1981,4690,"Bridgeport, PA, United States",-75.3451838,40.1051084,1
"Bob Damron's Address Book",1981,4690,"Bronx, NY, United States",-73.8648268,40.8447819,3
"Bob Damron's Address Book",1981,4690,"Brookings, SD, United States",-96.7983877,44.3113573,2
"Bob Damron's Address Book",1981,4690,"Brooklyn, NY, United States",-73.9441579,40.6781784,9
"Bob Damron's Address Book",1981,4690,"Brownsville, TX, United States",-97.4974838,25.9017472,1
"Bob Damron's Address Book",1981,4690,"Brunswick, ME, United States",-69.9669961,43.9140162,2
"Bob Damron's Address Book",1981,4690,"Bryte, CA, United States",-121.5416232,38.5946272,3
"Bob Damron's Address Book",1981,4690,"Buffalo, NY, United States",-78.8783689,42.8864468,25
"Bob Damron's Address Book",1981,4690,"Burbank, CA, United States",-118.3089661,34.1808392,2
"Bob Damron's Address Book",1981,4690,"Burlingame, CA, United States",-122.34809,37.5778696,1
"Bob Damron's Address Book",1981,4690,"Burlington, VT, United States",-73.212072,44.4758825,6
"Bob Damron's Address Book",1981,4690,"Burtonsville, MD, United States",-76.9324752,39.1112193,1
"Bob Damron's Address Book",1981,4690,"Caliente, CA, United States",-118.6286669,35.2912425,1
"Bob Damron's Address Book",1981,4690,"Calumet City, IL, United States",-87.5294871,41.6155909,5
"Bob Damron's Address Book",1981,4690,"Cambridge, MA, United States",-71.1097335,42.3736158,7
"Bob Damron's Address Book",1981,4690,"Camden, NJ, United States",NA,NA,3
"Bob Damron's Address Book",1981,4690,"Campbell, CA, United States",-121.9499568,37.2871651,1
"Bob Damron's Address Book",1981,4690,"Canton, OH, United States",-81.378447,40.7989473,7
"Bob Damron's Address Book",1981,4690,"Canyon, TX, United States",-101.9188024,34.9803342,1
"Bob Damron's Address Book",1981,4690,"Carbondale, IL, United States",-89.2167501,37.7272727,4
"Bob Damron's Address Book",1981,4690,"Casper, WY, United States",-106.2980824,42.848709,4
"Bob Damron's Address Book",1981,4690,"Cedar Rapids, IA, United States",-91.6656232,41.9778795,8
"Bob Damron's Address Book",1981,4690,"Central Falls, RI, United States",-71.3922785,41.8906553,1
"Bob Damron's Address Book",1981,4690,"Chambersburg, PA, United States",-77.6611022,39.9375911,1
"Bob Damron's Address Book",1981,4690,"Champaign, IL, United States",-88.2433829,40.1164204,5
"Bob Damron's Address Book",1981,4690,"Charleston, SC, United States",-79.9319664,32.7833163,6
"Bob Damron's Address Book",1981,4690,"Charleston, WV, United States",-81.6326234,38.3498195,12
"Bob Damron's Address Book",1981,4690,"Charlotte, NC, United States",-80.8431267,35.2270869,24
"Bob Damron's Address Book",1981,4690,"Charlottesville, VA, United States",-78.4766781,38.0293059,1
"Bob Damron's Address Book",1981,4690,"Chattanooga, TN, United States",-85.3093995,35.0457984,9
"Bob Damron's Address Book",1981,4690,"Cherry Hill, NJ, United States",-75.0246312,39.926813,1
"Bob Damron's Address Book",1981,4690,"Cheyenne, WY, United States",-104.8202462,41.1399814,6
"Bob Damron's Address Book",1981,4690,"Chicago, IL, United States",-87.6297982,41.8781136,118
"Bob Damron's Address Book",1981,4690,"Chico, CA, United States",-121.8374777,39.7284944,2
"Bob Damron's Address Book",1981,4690,"Cincinnati, OH, United States",-84.5120196,39.1031182,19
