"publication","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",16338,"Baton Rouge, LA, United States",-91.1871466,30.4514677,33,0.201983106867426
"Bob Damron's Address Book",16338,"Battle Creek, MI, United States",-85.1797142,42.3211522,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bay City, MI, United States",-83.8888647,43.5944677,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bay Shore, NY, United States",-73.2453946,40.7250986,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Beaumont, TX, United States",-94.1265562,30.080174,13,0.0795691027053495
"Bob Damron's Address Book",16338,"Beaver Dam, WI, United States",-88.837329,43.4577692,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Beckley, WV, United States",-81.1881557,37.7781702,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Belleville, MI, United States",-83.4852133,42.2047619,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Bellevue, NE, United States",-95.9262498,41.1567003,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Bellflower, CA, United States",-118.1170117,33.8816818,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bellingham, WA, United States",-122.4786854,48.7519112,12,0.0734484024972457
"Bob Damron's Address Book",16338,"Bellmawr, NJ, United States",-75.0946182,39.8676134,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bellmore, NY, United States",-73.5270709,40.6687125,13,0.0795691027053495
"Bob Damron's Address Book",16338,"Bellows Falls, VT, United States",-72.4439772,43.133411,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Belmar, NJ, United States",-74.0218037,40.1784471,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Belvidere, NJ, United States",-75.0776747,40.82982,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Berkeley, CA, United States",-122.273042,37.8715226,19,0.116293303953972
"Bob Damron's Address Book",16338,"Berlin, VT, United States",-72.5861615,44.2152614,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Berwin, IL, United States",NA,NA,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Berwyn, IL, United States",-87.7936685,41.8505874,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bethany Beach, DE, United States",-75.0551806,38.5395564,5,0.030603501040519
"Bob Damron's Address Book",16338,"Bethlehem, PA, United States",-75.3704579,40.6259316,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Beverly Hills, CA, United States",-118.4003563,34.0736204,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Beverly Shores, IN, United States",-86.9775319,41.6925381,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Biddeford, ME, United States",-70.4533844,43.4925843,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Big Bear Lake, CA, United States",-116.9114215,34.2438963,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Big Rapids, MI, United States",-85.4836557,43.6980782,10,0.0612070020810381
"Bob Damron's Address Book",16338,"Billings, MT, United States",-108.5006904,45.7832856,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Biloxi, MS, United States",-88.8853078,30.3960318,18,0.110172603745869
"Bob Damron's Address Book",16338,"Binghamton, NY, United States",-75.9179738,42.0986867,17,0.104051903537765
"Bob Damron's Address Book",16338,"Birmingham, AL, United States",-86.8103567,33.5185892,45,0.275431509364671
"Bob Damron's Address Book",16338,"Bisbee, AZ, United States",-109.9284084,31.4481547,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bismarck, NC, United States",NA,NA,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bismarck, ND, United States",-100.7877616,46.8041643,4,0.0244828008324152
"Bob Damron's Address Book",16338,"Black River, NY, United States",-75.7943671,44.0125639,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Blaine, WA, United States",-122.7471191,48.993723,5,0.030603501040519
"Bob Damron's Address Book",16338,"Blairsville, PA, United States",-79.260869,40.4311796,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bloomingdale, NY, United States",-74.0870965,44.4078279,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bloomington, IL, United States",-88.9936873,40.4842027,7,0.0428449014567267
"Bob Damron's Address Book",16338,"Bloomington, IN, United States",-86.5263857,39.165325,23,0.140776104786388
"Bob Damron's Address Book",16338,"Blue Point, NY, United States",-73.0345539,40.7439872,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bluefield, WV, United States",-81.2223195,37.2698395,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Boca Raton, FL, United States",-80.1289321,26.3683064,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Bohemia, NY, United States",-73.1151117,40.7692649,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Boise, ID, United States",-116.2023137,43.6150186,14,0.0856898029134533
"Bob Damron's Address Book",16338,"Boonville, CA, United States",-123.3671551,39.0089749,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bossier City, LA, United States",-93.7321228,32.5159852,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Boston, MA, United States",-71.0588801,42.3600825,187,1.14457093891541
"Bob Damron's Address Book",16338,"Boulder, CO, United States",-105.2705456,40.0149856,18,0.110172603745869
"Bob Damron's Address Book",16338,"Boulder, MT, United States",-112.1208336,46.2365947,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bowling Green, KY, United States",-86.4808043,36.9685219,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bozeman, MT, United States",-111.037259,45.6793119,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Bradenton, FL, United States",-82.5748194,27.4989278,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Brattlesboro, VT, United States",-72.5578678,42.8509152,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Breckenridge, CO, United States",-106.0383518,39.4816537,5,0.030603501040519
"Bob Damron's Address Book",16338,"Bremerton, WA, United States",-122.6269768,47.5650067,10,0.0612070020810381
