"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Batesville, MS",6,0.0136636910184004,155
"Bob Damron's Address Book","Baton Rouge, LA",86,0.195846237930406,79
"Bob Damron's Address Book","Battle Creek, MI",8,0.0182182546912006,153
"Bob Damron's Address Book","Bay City, MI",9,0.0204955365276007,152
"Bob Damron's Address Book","Bay Ridge, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Bay Shore, NY",6,0.0136636910184004,155
"Bob Damron's Address Book","Bayshore, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Bayville, L.I., NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Bayville, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Beaumont, TX",27,0.061486609582802,134
"Bob Damron's Address Book","Beaver Dam, WI",6,0.0136636910184004,155
"Bob Damron's Address Book","Beckley, WV",9,0.0204955365276007,152
"Bob Damron's Address Book","Belfast, ME",1,0.00227728183640007,160
"Bob Damron's Address Book","Belleville, IL",3,0.00683184550920022,158
"Bob Damron's Address Book","Belleville, MI",6,0.0136636910184004,155
"Bob Damron's Address Book","Belleville, NJ",2,0.00455456367280015,159
"Bob Damron's Address Book","Bellevue, NE",10,0.0227728183640007,151
"Bob Damron's Address Book","Bellflower, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Bellingham, WA",46,0.104754964474403,115
"Bob Damron's Address Book","Bellmawr, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Bellmore, NY",18,0.0409910730552013,143
"Bob Damron's Address Book","Bellows Falls, VT",5,0.0113864091820004,156
"Bob Damron's Address Book","Bellport, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Bellwood, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Belmar, NJ",6,0.0136636910184004,155
"Bob Damron's Address Book","Beltsville, MD",2,0.00455456367280015,159
"Bob Damron's Address Book","Belvidere, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Bemidji, MN",14,0.031881945709601,147
"Bob Damron's Address Book","Bennington, VT",1,0.00227728183640007,160
"Bob Damron's Address Book","Benton, IL",3,0.00683184550920022,158
"Bob Damron's Address Book","Berkeley Springs, WV",3,0.00683184550920022,158
"Bob Damron's Address Book","Berkeley, CA",58,0.132082346511204,103
"Bob Damron's Address Book","Berlin, NJ",3,0.00683184550920022,158
"Bob Damron's Address Book","Berlin, VT",3,0.00683184550920022,158
"Bob Damron's Address Book","Berwick, PA",2,0.00455456367280015,159
"Bob Damron's Address Book","Berwin, IL",1,0.00227728183640007,160
"Bob Damron's Address Book","Berwyn, IL",2,0.00455456367280015,159
"Bob Damron's Address Book","Bethany Beach, DE",11,0.0250501002004008,150
"Bob Damron's Address Book","Bethlehem, NH",2,0.00455456367280015,159
"Bob Damron's Address Book","Bethlehem, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Bethlehem, PA",8,0.0182182546912006,153
"Bob Damron's Address Book","Bettendorf, IA",3,0.00683184550920022,158
"Bob Damron's Address Book","Beverly Hills, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Beverly Shores, IN",7,0.0159409728548005,154
"Bob Damron's Address Book","Biddeford, ME",2,0.00455456367280015,159
"Bob Damron's Address Book","Big Bear Lake, CA",4,0.00910912734560029,157
"Bob Damron's Address Book","Big Bear, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Big Rapids, MI",25,0.0569320459100018,136
"Bob Damron's Address Book","Big Spring, TX",2,0.00455456367280015,159
"Bob Damron's Address Book","Billings, MT",19,0.0432683548916014,142
"Bob Damron's Address Book","Biloxi, MS",63,0.143468755693205,98
"Bob Damron's Address Book","Binghampton, NY",11,0.0250501002004008,150
"Bob Damron's Address Book","Binghamton, NY",55,0.125250501002004,106
"Bob Damron's Address Book","Birmingham, AL",142,0.32337402076881,56
"Bob Damron's Address Book","Birmingham, MI",1,0.00227728183640007,160
"Bob Damron's Address Book","Bisbee, AZ",7,0.0159409728548005,154
"Bob Damron's Address Book","Bismarck, NC",1,0.00227728183640007,160
"Bob Damron's Address Book","Bismarck, ND",10,0.0227728183640007,151
"Bob Damron's Address Book","Black River, NY",2,0.00455456367280015,159
"Bob Damron's Address Book","Blacksburg, VA",6,0.0136636910184004,155
"Bob Damron's Address Book","Blackwood, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Blaine, WA",14,0.031881945709601,147
"Bob Damron's Address Book","Blairsville, PA",5,0.0113864091820004,156
"Bob Damron's Address Book","Bloomingdale, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Bloomington, IL",27,0.061486609582802,134
"Bob Damron's Address Book","Bloomington, IN",57,0.129805064674804,104
"Bob Damron's Address Book","Blue Island, IL",3,0.00683184550920022,158
"Bob Damron's Address Book","Blue Mounds, WI",2,0.00455456367280015,159
"Bob Damron's Address Book","Blue Point, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Blue Rapids, KS",2,0.00455456367280015,159
"Bob Damron's Address Book","Bluefield, WV",15,0.0341592275460011,146
"Bob Damron's Address Book","Boca Raton, FL",10,0.0227728183640007,151
"Bob Damron's Address Book","Boerum Hill, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Bohemia, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Boise, ID",54,0.122973219165604,107
"Bob Damron's Address Book","Boone, IA",3,0.00683184550920022,158
"Bob Damron's Address Book","Boonville, CA",2,0.00455456367280015,159
"Bob Damron's Address Book","Bordentown, NJ",2,0.00455456367280015,159
"Bob Damron's Address Book","Bossier City, LA",1,0.00227728183640007,160
"Bob Damron's Address Book","Boston, MA",484,1.10220440881764,13
"Bob Damron's Address Book","Boulder, CO",47,0.107032246310803,114
"Bob Damron's Address Book","Boulder, MT",7,0.0159409728548005,154
"Bob Damron's Address Book","Bourne, MA",4,0.00910912734560029,157
"Bob Damron's Address Book","Bowling Green, KY",10,0.0227728183640007,151
"Bob Damron's Address Book","Bozeman, MT",8,0.0182182546912006,153
"Bob Damron's Address Book","Bradenton, FL",17,0.0387137912188012,144
"Bob Damron's Address Book","Brattleboro, VT",9,0.0204955365276007,152
"Bob Damron's Address Book","Brattlesboro, VT",1,0.00227728183640007,160
"Bob Damron's Address Book","Brawley, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Brea, CA",12,0.0273273820368009,149
"Bob Damron's Address Book","Breckenridge, CO",10,0.0227728183640007,151
"Bob Damron's Address Book","Bremerton, WA",15,0.0341592275460011,146
"Bob Damron's Address Book","Brewer, ME",1,0.00227728183640007,160
"Bob Damron's Address Book","Brick Town, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Bridgehampton, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Bridgeport, CT",36,0.0819821461104026,125
"Bob Damron's Address Book","Bridgeport, PA",9,0.0204955365276007,152
"Bob Damron's Address Book","Bridgeville, PA",3,0.00683184550920022,158
"Bob Damron's Address Book","Brinnon, WA",1,0.00227728183640007,160
"Bob Damron's Address Book","Bristol, CT",4,0.00910912734560029,157
"Bob Damron's Address Book","Bristol, PA",13,0.0296046638732009,148
"Bob Damron's Address Book","Bristol, TN",8,0.0182182546912006,153
"Bob Damron's Address Book","Bristol, VA",8,0.0182182546912006,153
"Bob Damron's Address Book","Brockton, MA",3,0.00683184550920022,158
"Bob Damron's Address Book","Bronx, NY",9,0.0204955365276007,152
"Bob Damron's Address Book","Brookfield, CT",3,0.00683184550920022,158
"Bob Damron's Address Book","Brookings, SD",10,0.0227728183640007,151
"Bob Damron's Address Book","Brooklyn Heights, NY",11,0.0250501002004008,150
"Bob Damron's Address Book","Brooklyn, MI",5,0.0113864091820004,156
"Bob Damron's Address Book","Brooklyn, NY",58,0.132082346511204,103
"Bob Damron's Address Book","Brownsville, TX",19,0.0432683548916014,142
"Bob Damron's Address Book","Brunswick, ME",12,0.0273273820368009,149
"Bob Damron's Address Book","Bryan, TX",7,0.0159409728548005,154
"Bob Damron's Address Book","Bryte, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Buena Park, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Buffalo, NY",207,0.471397340134815,39
"Bob Damron's Address Book","Burbank, CA",10,0.0227728183640007,151
"Bob Damron's Address Book","Burlingame, CA",5,0.0113864091820004,156
"Bob Damron's Address Book","Burlington, IA",4,0.00910912734560029,157
"Bob Damron's Address Book","Burlington, VT",46,0.104754964474403,115
"Bob Damron's Address Book","Burtonsville, MD",4,0.00910912734560029,157
"Bob Damron's Address Book","Butler, NJ",2,0.00455456367280015,159
"Bob Damron's Address Book","Butler, PA",7,0.0159409728548005,154
"Bob Damron's Address Book","Butte, MT",16,0.0364365093824012,145
"Bob Damron's Address Book","Caldwell, ID",5,0.0113864091820004,156
"Bob Damron's Address Book","Calexico, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Caliente, CA",2,0.00455456367280015,159
"Bob Damron's Address Book","Calumet City, IL",49,0.111586809983604,112
"Bob Damron's Address Book","Cambridge, MA",53,0.120695937329204,108
"Bob Damron's Address Book","Camden, NJ",21,0.0478229185644015,140
"Bob Damron's Address Book","Campbell, CA",3,0.00683184550920022,158
"Bob Damron's Address Book","Campbellsville, KY",10,0.0227728183640007,151
"Bob Damron's Address Book","Canton, OH",65,0.148023319366005,96
"Bob Damron's Address Book","Canyon, TX",3,0.00683184550920022,158
"Bob Damron's Address Book","Cape Canaveral, FL",6,0.0136636910184004,155
"Bob Damron's Address Book","Cape Charles, VA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cape Coral, FL",2,0.00455456367280015,159
"Bob Damron's Address Book","Cape Girardeau, MO",2,0.00455456367280015,159
"Bob Damron's Address Book","Cape May, NJ",1,0.00227728183640007,160
"Bob Damron's Address Book","Captain Cook, Hawaii, HI",1,0.00227728183640007,160
"Bob Damron's Address Book","Carbondale, IL",24,0.0546547640736018,137
"Bob Damron's Address Book","Carbondale, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Carbondle, IL",4,0.00910912734560029,157
"Bob Damron's Address Book","Caribou, ME",7,0.0159409728548005,154
"Bob Damron's Address Book","Carmel, CA",7,0.0159409728548005,154
"Bob Damron's Address Book","Carson City, NV",6,0.0136636910184004,155
"Bob Damron's Address Book","Carthegena, OH",3,0.00683184550920022,158
"Bob Damron's Address Book","Carthegna, OH",1,0.00227728183640007,160
"Bob Damron's Address Book","Carversville, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Casa Grande, AZ",4,0.00910912734560029,157
"Bob Damron's Address Book","Cascade, ID",2,0.00455456367280015,159
"Bob Damron's Address Book","Cashiers, NC",1,0.00227728183640007,160
"Bob Damron's Address Book","Casper, WY",22,0.0501002004008016,139
"Bob Damron's Address Book","Castro Village- S.F., CA",12,0.0273273820368009,149
"Bob Damron's Address Book","Cathedral City, CA",33,0.0751503006012024,128
"Bob Damron's Address Book","Cave City, KY",1,0.00227728183640007,160
"Bob Damron's Address Book","Cazadero, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cedar Rapids, IA",54,0.122973219165604,107
"Bob Damron's Address Book","Center Moriches, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Central Falls, RI",6,0.0136636910184004,155
"Bob Damron's Address Book","Centre Harbor, NH",2,0.00455456367280015,159
"Bob Damron's Address Book","Chambersburg, PA",6,0.0136636910184004,155
"Bob Damron's Address Book","Champaign, IL",43,0.0979231189652031,118
"Bob Damron's Address Book","Champaign/Urbana, IL",7,0.0159409728548005,154
"Bob Damron's Address Book","Chapel Hill, NC",30,0.0683184550920022,131
"Bob Damron's Address Book","Charlemont, MA",2,0.00455456367280015,159
"Bob Damron's Address Book","Charleston, SC",79,0.179905265075606,84
"Bob Damron's Address Book","Charleston, WV",55,0.125250501002004,106
"Bob Damron's Address Book","Charlestown, WV",12,0.0273273820368009,149
"Bob Damron's Address Book","Charlotte Amalie, St. Thomas, VI",42,0.0956458371288031,119
"Bob Damron's Address Book","Charlotte Amalie, VI",11,0.0250501002004008,150
