"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Abbeyville, LA, United States",29.9746502,-92.1342921,0.00380228136882129,NA,NA,NA,NA,NA
"Aberdeen, SD, United States",45.4646985,-98.4864829,0.0152091254752852,0.00742611020347542,2.0480608365019,0.488266745878508,2.0480608365019,0.716893412059263
"Aberdeen, WA, United States",46.9753708,-123.8157218,0.026615969581749,NA,NA,NA,NA,NA
"Abilene, TX, United States",32.4487364,-99.7331439,0.0342205323193916,0.0371305510173771,0.921627376425855,1.08503721306335,0.921627376425855,-0.0816142841585117
"Adrian, MI, United States",41.8975471,-84.0371659,0.00760456273764259,NA,NA,NA,NA,NA
"Agana, GU, United States",37.09024,-95.712891,0.00380228136882129,NA,NA,NA,NA,NA
"Aguas Buenas, PR, United States",18.257041,-66.1061172,0.0114068441064639,0.0148522204069508,0.768022813688216,1.30204465567602,0.768022813688216,-0.263935840952461
"Akron, OH, United States",41.081199,-81.5188377,0.262357414448669,0.252487746918164,1.03908968910758,0.962380832456191,1.03908968910758,0.0383450309204685
"Alamagordo, NM, United States",32.8995325,-105.960265,0.0114068441064639,NA,NA,NA,NA,NA
"Alameda, CA, United States",37.7798721,-122.2821855,0.0114068441064639,NA,NA,NA,NA,NA
"Albany, CA, United States",37.886704,-122.2977557,0.00380228136882129,0.0519827714243279,0.0731450298750679,13.6714688845982,0.0731450298750679,-2.61531109811594
"Albany, GA, United States",31.5785074,-84.155741,0.0456273764258555,0.00742611020347542,6.1441825095057,0.162755581959503,6.1441825095057,1.81550570072737
"Albany, NY, United States",42.6525793,-73.7562317,0.258555133079848,0.252487746918164,1.02403041825095,0.976533491757016,1.02403041825095,0.0237462314993171
"Albion, CA, United States",39.2232406,-123.7680598,0.00380228136882129,0.0371305510173771,0.102403041825095,9.76533491757018,0.102403041825095,-2.27883886149473
"Albuquerque, NM, United States",35.0843859,-106.650422,0.285171102661597,0.527253824446755,0.54086113640015,1.84890341105995,0.54086113640015,-0.614592712565635
"Alexandria, LA, United States",31.3112936,-92.4451371,0.064638783269962,0.0668349918312788,0.967139839459231,1.03397663833096,0.967139839459231,-0.033412182340633
"Alexandria, VA, United States",38.8048355,-77.0469214,0.0190114068441065,NA,NA,NA,NA,NA
"Alleghany, CA, United States",39.4692306,-120.8429926,0.00760456273764259,NA,NA,NA,NA,NA
"Allentown, PA, United States",40.6022939,-75.4714098,0.0988593155893536,0.0816872122382296,1.21021776702385,0.826297569948246,1.21021776702385,0.190800316162482
"Altoona, PA, United States",40.5186809,-78.3947359,0.0304182509505703,0.0222783306104263,1.36537389100126,0.732400118817766,1.36537389100126,0.311428303951093
"Amarillo, TX, United States",35.2219971,-101.8312969,0.0988593155893536,0.0816872122382296,1.21021776702385,0.826297569948246,1.21021776702385,0.190800316162482
"Amelia Island, FL, United States",30.6265697,-81.460856,0.00380228136882129,NA,NA,NA,NA,NA
"Ames, IA, United States",42.0307812,-93.6319131,0.0342205323193916,0.0297044408139017,1.15203422053232,0.868029770450684,1.15203422053232,0.141529267155697
"Amherst, MA, United States",42.3732216,-72.5198537,0.0152091254752852,0.207931085697312,0.073145029875068,13.6714688845982,0.073145029875068,-2.61531109811594
"Amherst, NY, United States",42.9791367,-78.7922424,0.0228136882129278,NA,NA,NA,NA,NA
"Anaheim, CA, United States",33.8365932,-117.9143012,0.0190114068441065,0.00742611020347542,2.56007604562738,0.390613396702806,2.56007604562738,0.940036963373473
"Anahola, Kauai, HI, United States",22.1473253,-159.3157173,0.00380228136882129,NA,NA,NA,NA,NA
"Anchorage, AK, United States",61.2175758,-149.8996785,0.174904942965779,0.349027179563345,0.501121268505783,1.99552496141652,0.501121268505783,-0.690907154281597
"Anderson, IN, United States",40.1053196,-85.6802541,0.00380228136882129,0.0222783306104263,0.170671736375158,5.85920095054212,0.170671736375158,-1.76801323772874
"Andrews, IN, United States",40.8625448,-85.6016458,0.00380228136882129,NA,NA,NA,NA,NA
"Ann Arbor, MI, United States",42.2808256,-83.7430378,0.0950570342205323,0.282192187732066,0.33685211126676,2.96866181494133,0.33685211126676,-1.08811128391882
"Annapolis, MD, United States",38.9784453,-76.4921829,0.0684410646387833,0.0148522204069508,4.60813688212929,0.21700744261267,4.60813688212929,1.52782362827559
"Anoka, MN, United States",45.1977428,-93.3871758,0.0152091254752852,NA,NA,NA,NA,NA
"Antioch, IL, United States",42.4772418,-88.0956396,0.00380228136882129,0.00742611020347542,0.512015209125475,1.95306698351404,0.512015209125475,-0.66940094906063
"Appleton, WI, United States",44.2619309,-88.4153847,0.064638783269962,0.0148522204069508,4.35212927756655,0.229772586295768,4.35212927756655,1.47066521443564
"Arcadia, CA, United States",34.1397292,-118.0353449,0.00760456273764259,NA,NA,NA,NA,NA
"Arcata, CA, United States",40.8665166,-124.0828396,0.00380228136882129,NA,NA,NA,NA,NA
"Arlington, MA, United States",42.4153925,-71.1564729,0.00380228136882129,NA,NA,NA,NA,NA
"Arlington, TX, United States",32.735687,-97.1080656,0.0418250950570342,0.00742611020347542,5.63216730038023,0.177551543955821,5.63216730038023,1.72849432373774
"Arlington, VA, United States",38.8816208,-77.0909809,0.0228136882129278,0.0371305510173771,0.614418250950571,1.62755581959503,0.614418250950571,-0.487079392266673
"Arlington, VT, United States",43.0747858,-73.1539734,0.00380228136882129,NA,NA,NA,NA,NA
"Asbury Park, NJ, United States",40.2203907,-74.0120817,0.269961977186312,0.215357195900787,1.2535544775141,0.797731584815591,1.2535544775141,0.225983097994213
"Ascutney, VT, United States",43.4012001,-72.4062772,0.00380228136882129,NA,NA,NA,NA,NA
"Asheville, NC, United States",35.5950581,-82.5514869,0.0836501901140684,0.0816872122382296,1.02403041825095,0.976533491757018,1.02403041825095,0.0237462314993153
"Ashland, OR, United States",42.1945758,-122.7094767,0.0190114068441065,0.0445566612208525,0.426679340937897,2.34368038021684,0.426679340937897,-0.851722505854582
"Ashville, NC, United States",35.5950581,-82.5514869,0.0228136882129278,0.0222783306104263,1.02403041825095,0.976533491757018,1.02403041825095,0.0237462314993156
"Aspen, CO, United States",39.1910983,-106.8175387,0.0532319391634981,0.0297044408139017,1.79205323193916,0.558019138146868,1.79205323193916,0.583362019434738
"Astoria, NY, United States",40.7643574,-73.9234619,0.00380228136882129,NA,NA,NA,NA,NA
