"type","count"
"Books, Cards And Gift Shop",1
"Books, Cards and Gift Shop",2
"Bookshop",6
"Bookstore",149
"Bookstore Cafe",1
"Bookstore/Art Gallery",1
"Bookstore/Cafe",1
"Bookstore/Coffeehouse",1
"Bookstore/Coffeehouse ",1
"Bookstore/Feminist Specialty Shop",1
"Bookstore/Publishing House",1
"Bookstore/Records",1
"Bookstore/Retail Shops",250
"Bookstores",1603
"Bookstores & Retail Shops",458
"Bookstores / Cafe",2
"Bookstores,Cruisy Areas",1
"Bookstores/Retail Shops",1876
"Bookstores/Retail Shops,Cruisy Areas",1
"Bookstores/Retail Shops,Travel/Tour Operators",1
"Boutique",2
"Bowling League",1
"Business",1019
"Business Association ",1
"Business Consultants",1
"Business Consultants ",1
"Business and Trade Organizations",2
"Business,Bars/Clubs",1
"Business,Book Store",51
"Business,Book Store,Cruising Areas",2
"Business,Book Store,Erotic Shop",1
"Business,Book Store,Theatre",1
"Business,Cruising Areas",13
"Business,Cruising Areas,Book Store",1
"Business,Cruising Areas,Erotic Shop",1
"Business,Cruising Areas,Restaurant",1
"Business,Erotic Shop",16
"Business,Erotic Shop,Book Store",1
"Business,Escort Service",1
"Business,Hotel",20
"Business,Organization",6
"Business,Organizations",1
"Business,Restaurant",8
"Business,Theatre",2
"Business,Travel Service",1
"Buttons",1
"Cab Company",3
"Cabin",1
"Cabins & Camping",1
"Cafe",1
"Cafe / Club",1
"Cafe / Gallery",1
"Cafe/Bookstore",1
"Cafe/Coffeehouse",1
"Cafe/Gallery",2
"Cafes",1424
"Camp Grounds",2
"Campground",3
"Campground/Retreat",2
"Camping",1
"Camping For Women",1
"Camping Program",2
"Camping Space",3
"Camping and Cabins",3
"Camping for Women",1
"Cape Coral",1
"Captained Charted Sailings",2
"Card Shop",1
"Cat Doctor",1
"Center",73
"Center/Bookstore",1
"Center/Groups",2
"Centers",248
"Centers / Groups",2
"Centers / Organizations / Groups",1
"Centers / Switchboards",5
"Centers and Organizations",2
"Centers/Organizations/Groups",1
"Ceremony",1
"Chemical Dependency Association",2
"Chemical Dependency Clinic",2
"Church",346
"Church,Organizations",1
"Cinema",1
"Classes",3
"Clinic",6
"Clinics / Health Centers / Counseling",15
"Clothing",1
"Club ",1
"Coffee Bar",1
"Coffee House",2
"Coffee House/Art Gallery",4
"Coffee House/Art Gallery ",1
"Coffeebar",1
"Coffeehouse",40
"Coffeehouse / Cafe",2
"Coffeehouse/Bar",1
"Coffeehouse/Cafe",1
"Coffeehouse/Cultural Center",1
"Coffeehouses",26
"Coffeehouses and Cafe / Bars",3
"Committee",1
"Community Center/ Support Group",30
"Community Center/ Support Group,Hotline",2
"Community Center/ Support Group,Publication",1
"Community Center/ Support Group,Religious Institution",2
"Community Center/Support Group",200
"Community Center/Support Group,Hotline",4
"Community Center/Support Group,Hotlines",1
"Community Center/Support Group,Organization",2
"Computer Services",1
"Counseling",13
"Counseling / Health / Clinics / Medical Treatment",8
"Counseling / Health Services",1
"Counseling / Therapy / Health Centers",2
"Counseling / Therapy / Massage",2
"Counseling Center",1
"Counseling Centers / Health Centers, etc.",6
"Counseling Centers/Health Centers, etc",4
"Counseling Service",13
"Counseling Services/Therapy/Massage",3
"Counseling and Health",1
"Counseling and Health Services",1
"Counseling and Health Services --Community Organized",2
"Counseling and Health,etc",1
"Counseling and Psychotherapy",2
"Counseling and Therapy",10
"Counseling and Therapy-Private",1
"Counseling/Therapy",4
